Date,Sales,Category,Region
2019-01-01,7053.7150564944695,Furniture,Central
2019-02-01,3217.144310220022,Furniture,Central
2019-03-01,1451.7055921141355,Furniture,Central
2019-01-01,7840.967067874106,Furniture,East
2019-02-01,1863.3175875193306,Furniture,East
2019-03-01,2131.8316530577767,Furniture,East
2019-01-01,4215.702249242508,Furniture,South
2019-02-01,3331.456106716326,Furniture,South
2019-03-01,2005.345939554383,Furniture,South
2019-01-01,13467.22755362434,Furniture,West
2019-02-01,4199.431051469815,Furniture,West
2019-03-01,2937.285741936846,Furniture,West
2019-01-01,6724.768383045853,Office Supplies,Central
2019-02-01,5141.698478004767,Office Supplies,Central
2019-03-01,2545.5817354843502,Office Supplies,Central
2019-01-01,8491.251490597087,Office Supplies,East
2019-02-01,3955.144898076386,Office Supplies,East
2019-03-01,3859.1391722678773,Office Supplies,East
2019-01-01,4329.168975378032,Office Supplies,South
2019-02-01,2128.610192343643,Office Supplies,South
2019-03-01,2258.499876229207,Office Supplies,South
2019-01-01,9135.201587654014,Office Supplies,West
2019-02-01,4323.854699049059,Office Supplies,West
2019-03-01,3723.660378372333,Office Supplies,West
2019-01-01,5803.852155095474,Technology,Central
2019-02-01,3066.3862481974957,Technology,Central
2019-03-01,1636.8139655195127,Technology,Central
2019-01-01,11210.232372649292,Technology,East
2019-02-01,4398.368451362571,Technology,East
2019-03-01,3921.0592914900803,Technology,East
2019-01-01,2567.846802047231,Technology,South
2019-02-01,2352.522446433252,Technology,South
2019-03-01,2826.6923931666975,Technology,South
2019-01-01,10297.280206989986,Technology,West
2019-02-01,5678.15324969788,Technology,West
2019-03-01,4909.408509369416,Technology,West
